"AUC_d"	"AUC_v"
0.670663837019864	0.59051881954563
0.695036342639797	0.639674598079909
0.678499188609415	0.623127886016633
0.669180819637935	0.601441087082308
0.708873237974782	0.621474324960919
0.679902385523581	0.593981955993036
0.678129595422001	0.591361285269393
0.739895493599892	0.633428817244063
0.683410825144692	0.606682550696732
0.67061332967385	0.58910244724844
0.691441651121602	0.621178693609182
0.660538039596372	0.568322162721254
0.666924619500073	0.620726013380675
0.705331546305615	0.619287904347314
0.668601684200136	0.592479900574149
0.660987266007617	0.594285631647876
0.704268223638888	0.608463392717782
0.662586573629284	0.626299546309894
0.717523941402849	0.622910548483795
0.668849176828278	0.605359983730604
0.681642831521583	0.588880876108032
0.682362577915063	0.606497403849172
0.65609895643971	0.585177028095841
0.684163208155682	0.610897998956015
0.711668533807001	0.639118141836187
0.66757071936321	0.612584596533864
0.700647057458423	0.6162421660842
0.654573705778706	0.587217300061687
0.656246724745414	0.586788230880498
0.66827010782669	0.604280977295919
0.670245968029794	0.607879033017581
0.677079088259413	0.596347595553776
0.696263031109444	0.611825792966694
0.655122118300329	0.602604843056436
0.707839039026163	0.601513891209884
0.68849163438908	0.616641959172111
0.708083987411469	0.629501411028576
0.66893124371393	0.612250708647148
0.680850761383805	0.604260983716644
0.666747133270915	0.552199862681697
0.694337195206724	0.598830825889986
0.687031504557564	0.643405229175683
0.677651033366893	0.602456560139265
0.696061018998847	0.60752619167102
0.672617615658704	0.576379675244285
0.682581697942097	0.595752087703273
0.704918627370859	0.618514533312475
0.686256582847053	0.613097572365314
0.699818107915351	0.605697922714324
0.67558174393596	0.591692833217084
0.656643876499346	0.615962434067586
0.671053934231792	0.592886068404865
0.726604337829947	0.628805004194973
0.701862404424596	0.608525200729681
0.655820898184512	0.587058520335612
0.687159201617096	0.633940286877591
0.714197365223735	0.605987757442958
0.696126387244658	0.613456771904052
0.67871577573074	0.587988264281954
0.709599733267952	0.615006350953831
0.681201414693728	0.588484751307494
0.700896056295195	0.616092060821125
0.681888799768909	0.593084826725323
0.670214804715876	0.608760076774781
0.657269421476262	0.617953202612387
0.68922527010898	0.592877025949282
0.704351468266093	0.604241573748417
0.630247873758525	0.568877164846877
0.677668681260912	0.598032622342916
0.682499614801625	0.608358645273
0.694795278106421	0.592817610669072
0.688573259839208	0.631824330171949
0.690526091951701	0.62077005180163
0.689549320890018	0.631887752740015
0.683422313412724	0.605641937589483
0.689335271537343	0.585870760357791
0.682380722366284	0.60985055767187
0.71909044294669	0.634731930307698
0.69921177445484	0.639511750715669
0.698107928560143	0.615523781128228
0.700540505690864	0.610197543811542
0.690738092514041	0.596888403095319
0.671670566280771	0.606383263391504
0.67840261865815	0.614822465201711
0.686084273922461	0.608914431091981
0.694752563749124	0.619974386501555
0.671017690854419	0.597493193510947
0.65273397434183	0.576242882923844
0.667688546353762	0.563091995268454
0.696667086995484	0.632104899318686
0.681766518275793	0.590214594736085
0.679910773660205	0.578786228909414
0.700910424536073	0.642133105551117
0.709912425907491	0.62943594446458
0.676291587451744	0.587959854523834
0.657677200863608	0.615537128561932
0.667159600814224	0.607700861619772
0.678677761656596	0.608617028925697
0.686803190827837	0.608729718912601
0.699973657938505	0.615057995453191
0.645665522754073	0.575313746851772
0.67998041244301	0.600532644986446
0.68972245086201	0.592864043665034
0.676608101917669	0.606841317034251
0.643883551899935	0.562126080577201
0.667065188458278	0.611090458342232
0.674319779890096	0.595048254848523
0.698380549615027	0.619673894623726
0.660601788986874	0.601439154077098
0.691386275108171	0.606450499351254
0.693025588863628	0.60074758154824
0.673341393890519	0.605117589571633
0.691706670993275	0.590139826782198
