Donor_ID	Sample_ID	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30	Signature.33	Signature.36	Signature.38	Signature.51	Signature.52	Signature.MMR1	Signature.MMR2	Signature.PLATINUM	Signature.N1	Signature.N2	Signature.N3	Signature.N4	Signature.N5	Signature.N6	Signature.N7	Signature.N8	Signature.N9	Signature.N10	Signature.N11	Signature.N12	del.mh	del.rep	del.none	ins	clustered_del_1-10Kb	clustered_del_10-100Kb	clustered_del_100Kb-1Mb	clustered_del_1Mb-10Mb	clustered_del_>10Mb	clustered_tds_1-10Kb	clustered_tds_10-100Kb	clustered_tds_100Kb-1Mb	clustered_tds_1Mb-10Mb	clustered_tds_>10Mb	clustered_inv_1-10Kb	clustered_inv_10-100Kb	clustered_inv_100Kb-1Mb	clustered_inv_1Mb-10Mb	clustered_inv_>10Mb	clustered_trans	non-clustered_del_1-10Kb	non-clustered_del_10-100Kb	non-clustered_del_100Kb-1Mb	non-clustered_del_1Mb-10Mb	non-clustered_del_>10Mb	non-clustered_tds_1-10Kb	non-clustered_tds_10-100Kb	non-clustered_tds_100Kb-1Mb	non-clustered_tds_1Mb-10Mb	non-clustered_tds_>10Mb	non-clustered_inv_1-10Kb	non-clustered_inv_10-100Kb	non-clustered_inv_100Kb-1Mb	non-clustered_inv_1Mb-10Mb	non-clustered_inv_>10Mb	non-clustered_trans
DO219974	SA554830	429.834885441778	450.8274	840.518300793864	0	249.146014558143	0	0	0	0	0	0	0	211.07969920622	0	0	0	0	718.833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658.0585	0	0	0	0	0	0	0	0	0	0	0	0	0	28	91	48	45	8	2	4	8	4	8	6	2	8	10	14	14	8	26	28	223	6	6	10	4	8	4	6	4	0	8	20	12	8	30	16	121
DO219975	SA554852	770.432652203683	0	686.179472794293	0	446.567347796175	0	0	0	0	0	0	0	172.320527205776	0	0	0	1314	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1063.5	0	0	0	0	0	0	0	0	0	0	0	0	0	17	100	32	76	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	18	16	0	2	0
DO220116	SA553714	1130.33421996837	3195.761	521.285470071629	0	655.177780031424	0	0	1999.733	0	0	0	0	130.910629928423	0	0	0	0	1194.522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	351	105	140	30	16	30	83	70	24	8	34	78	73	20	43	48	148	157	1706	114	0	16	17	34	104	2	10	26	43	8	19	22	70	87	776
DO220118	SA553777	440.756290560338	0	241.021878608299	0	255.476409439581	0	0	501.9118	0	0	0	0	60.5279213917254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317.1559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	103	86	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	6	4	4	2	6	4	16
DO220122	SA553852	998.150893581529	863.1266	2076.04978247076	0	578.560106418286	0	0	4724.113	0	0	0	0	521.359217529444	0	0	0	0	2865.881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	254	132	183	0	4	8	4	10	4	4	8	6	12	2	8	20	3	29	34	4	4	6	2	8	2	4	6	4	4	58	62	54	13	25	46
DO220126	SA553891	307.089327391492	610.0954	604.667825571619	0	177.998772608452	0	0	599.6367	0	0	0	0	151.850474428442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310.2771	0	0	0	0	0	0	535.3899	0	0	0	0	0	0	0	0	0	0	0	0	0	37	68	32	50	6	6	12	18	6	2	4	11	22	12	5	14	12	39	21	33	8	4	0	6	20	4	2	3	16	8	19	20	16	31	39	75
DO220138	SA554033	0	590.3232	1828.59835824214	0	0	0	0	1538.539	0	0	0	0	459.216641758046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594.322	0	0	0	0	0	0	743.2774	0	0	0	0	0	0	0	0	0	0	0	0	0	43	118	61	55	4	2	2	4	8	2	0	14	6	11	0	4	10	29	21	19	8	4	6	12	10	2	6	0	16	21	18	58	56	25	23	79
DO220140	SA554054	640.260553866189	0	532.253471466472	0	371.115446133693	0	0	466.4429	0	0	0	0	133.665028533581	0	0	0	0	543.9335	0	0	0	0	0	0	0	0	0	0	0	404.4505	0	0	0	0	0	0	623.9237	0	0	0	0	0	0	0	0	0	0	0	0	0	14	72	44	51	4	4	0	0	0	2	2	0	2	0	2	4	8	6	0	16	4	4	2	0	2	0	4	2	2	2	6	6	10	4	10	26
DO220153	SA554204	584.856127313064	0	258.366593400812	0	339.001272686828	0	0	927.3493	0	0	0	0	64.883706599214	0	0	0	0	398.0768	0	0	0	0	0	0	0	0	0	0	0	419.527	0	0	0	0	0	0	393.5872	0	0	0	0	0	0	0	0	0	0	0	0	0	27	58	33	65	4	0	0	2	0	4	0	0	2	0	0	0	0	0	2	0	2	0	0	2	2	2	0	2	2	4	0	8	6	8	8	16
DO220157	SA554247	758.404533557939	0	360.074376812847	0	439.595466441921	0	0	1177	0	0	0	0	90.4256231871894	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	348.5	0	0	0	0	0	0	0	0	0	0	0	0	0	27	85	46	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	8	0	2	6
DO220163	SA554319	915.56962931311	690.2505	376.761925894782	0	530.693370686721	0	0	1391.043	0	0	0	0	94.6163741052562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	902.0946	0	0	0	0	0	0	608.9264	0	0	0	0	0	0	0	0	0	0	0	0	0	39	80	46	52	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	16	6	0	0	0	0	2	2	2	0	0	4	20	14	4	4	14
DO220168	SA554379	0	0	0	0	0	0	0	2681.24	0	0	0	0	0	0	0	0	1019.858	1418.131	0	0	0	0	0	0	0	0	0	0	0	3581.966	0	0	0	0	0	0	2566.593	0	0	0	0	0	0	0	0	0	0	0	0	0	29	131	55	160	4	6	14	20	26	6	0	12	28	24	24	24	36	44	43	42	0	6	4	10	12	0	10	8	10	20	54	60	38	18	19	56
DO220172	SA554424	617.556403722259	0	819.709918272343	0	357.955396277627	0	0	2661.26	0	0	0	0	205.85408172774	0	0	0	0	1281.329	0	0	0	0	0	0	0	0	0	0	0	735.2626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	128	54	66	6	0	6	20	20	2	0	14	16	11	14	6	10	31	50	92	4	8	0	26	36	6	4	2	20	21	26	56	28	61	38	78
DO220174	SA554446	461.598867773233	0	218.249432232965	0	267.557432226682	0	0	665.6427	0	0	0	0	54.8090677670569	0	0	0	0	297.5638	0	0	0	0	0	0	0	0	0	0	0	163.0349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	54	37	39	2	0	0	0	4	2	2	2	0	3	2	4	2	2	2	6	6	2	0	2	2	2	2	0	4	3	10	10	12	4	2	24
DO220176	SA554466	974.984104010951	0	784.14727835065	0	565.131895988869	0	0	0	0	0	0	0	196.923221649428	0	0	0	286.0002	828.1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	98	50	98	10	0	8	8	4	2	2	8	8	9	6	8	24	15	10	30	2	6	6	12	6	4	2	6	2	9	10	28	78	19	18	68
DO220221	SA555030	899.025268645328	347.909	367.17179845818	0	521.103731354506	0	0	0	0	0	0	0	92.2080015418566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509.8666	0	0	0	0	0	0	505.8677	0	0	0	0	0	0	0	0	0	0	0	0	0	40	94	42	104	0	0	2	6	2	0	0	4	3	2	0	2	2	2	6	6	0	2	0	0	4	0	0	0	1	2	4	2	4	4	4	12
DO217786	SA542425	597.4049	0	0	0	0	0	0	318.9831	0	0	0	0	0	0	0	0	0	391.0924	0	0	0	0	0	0	0	0	0	0	0	701.5626	0	0	0	0	0	0	282.4278	0	0	0	0	0	0	0	0	0	0	0	0	0	27	77	30	57	0	0	0	8	0	0	0	0	8	0	2	0	0	20	0	30	0	0	0	0	0	0	0	0	0	0	2	2	0	6	0	14
DO217787	SA542426	539.6871	0	0	0	0	0	0	231.7244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630.9725	0	0	0	0	0	0	227.2103	0	376.176	0	0	0	0	0	0	0	0	0	0	0	24	59	25	48	4	0	0	8	8	0	2	0	8	6	0	6	0	16	12	0	0	0	0	6	0	0	0	0	2	0	2	4	10	8	4	0
DO217788	SA542427	548.4123	253.9594	0	0	0	0	0	296.9525	0	0	0	0	0	0	0	0	0	306.9509	0	0	0	0	0	0	0	0	0	0	0	740.3816	0	0	0	0	0	0	339.4457	0	386.9381	0	0	0	0	0	0	0	0	0	0	0	37	77	38	140	0	2	14	16	26	0	3	4	10	40	0	8	28	28	40	32	2	2	0	0	0	2	1	2	0	2	6	4	2	4	6	26
DO217800	SA542448	458.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.9933	0	0	0	0	0	0	0	0	0	0	0	371.6018	0	0	0	0	0	0	0	0	212.131	0	0	0	0	0	0	0	0	0	0	0	13	33	14	41	0	0	2	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
DO217826	SA542492	519.1776	372.5511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277.2937	0	0	0	0	0	0	0	0	0	0	0	546.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	54	21	68	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	16	10	4	0	0	0
DO217844	SA542525	0	24695.73	0	0	0	0	0	0	0	0	0	0	10133.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	54	38	64	0	0	4	0	2	0	2	6	0	2	4	0	2	4	2	6	0	2	0	0	2	2	2	0	0	2	4	0	2	0	0	8
DO217865	SA542561	418.8625	0	0	0	0	0	0	208.6806	0	0	0	0	0	0	0	0	0	167.1447	0	0	0	0	0	0	0	0	0	0	0	471.408	0	0	0	0	0	0	185.6607	0	391.3387	0	0	0	0	0	0	0	0	0	0	0	27	45	19	73	2	0	0	12	1	4	0	0	8	4	2	3	2	14	2	8	2	2	2	0	3	8	4	0	4	4	4	11	6	12	10	10
DO217887	SA542602	291.6785	666.6225	0	0	0	0	0	290.6813	0	0	0	0	203.9257	0	0	0	0	358.4903	0	0	0	0	0	0	0	0	0	0	0	553.4413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	38	16	37	2	2	6	32	11	8	10	8	24	12	8	12	38	31	12	125	6	2	0	4	7	4	2	0	6	8	10	10	8	11	26	25
DO217907	SA542640	579.0157	589.0681	401.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1052.482	0	0	0	0	0	0	0	0	0	0	0	1059.016	0	0	0	0	0	770.5131	0	0	707.6859	0	0	0	0	0	0	0	0	0	0	0	41	92	32	154	6	8	16	34	36	8	12	23	39	37	14	14	38	87	82	144	8	12	6	8	18	8	10	11	23	17	54	72	72	39	26	76
DO217908	SA542641	258.0165	1312.169	0	0	0	0	0	270.5659	0	0	0	0	532.0962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381.5029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	38	21	41	0	0	2	0	0	0	0	2	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	2	0	2
DO217931	SA542683	780.6468	329.1403	0	0	0	0	0	0	0	0	0	0	311.6594	0	0	0	0	459.4978	0	0	0	0	0	0	0	0	0	0	0	749.6807	0	0	0	0	0	0	426.0344	0	0	0	0	0	0	0	0	0	0	0	0	0	32	73	25	97	8	4	6	14	9	4	4	6	8	14	8	6	8	36	8	38	4	2	6	2	11	10	8	0	8	10	14	8	32	30	6	28
DO217934	SA542686	457.1208	0	0	0	0	0	0	170.7979	0	0	0	0	0	0	0	0	0	582.6049	0	0	0	0	0	0	0	0	0	0	0	356.5343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	35	22	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	2	0	2	0	10	14
DO217939	SA542695	551.7587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483.7268	0	0	0	0	0	0	0	0	0	0	0	380.1782	0	0	0	0	0	204.5959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	34	19	134	2	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
DO217952	SA542718	669.839	0	0	0	0	0	0	265.2483	0	0	0	0	0	0	0	0	0	179.1546	0	0	0	0	0	0	0	0	0	0	0	535.4731	0	0	0	0	0	0	215.4831	0	0	0	0	0	0	0	0	0	0	0	0	0	27	62	25	84	2	0	2	10	8	0	2	2	12	12	2	0	2	24	24	28	0	2	0	4	2	0	0	0	8	2	4	0	2	10	10	8
DO217953	SA542719	402.9927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349.4623	0	0	0	0	0	0	0	0	0	0	0	273.2068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	37	11	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
DO217962	SA542735	368.8856	0	0	0	0	0	0	171.714	0	0	0	0	0	0	0	0	0	185.6907	0	0	0	0	0	0	0	0	0	0	0	374.3765	0	0	0	0	0	0	166.7223	0	0	0	0	0	0	0	0	0	0	0	0	0	20	41	17	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DO217987	SA542783	728.563	0	0	0	0	0	0	687.1447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445.122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	42	27	36	6	6	4	14	17	2	0	8	19	21	0	4	14	19	58	359	2	2	4	12	31	4	4	4	11	33	6	4	8	35	54	181
DO218059	SA542919	234.4735	686.0336	0	0	0	0	0	0	0	0	0	0	445.599	0	0	0	0	179.3325	0	0	0	0	0	0	0	0	0	0	0	292.0983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	27	13	63	0	0	2	2	0	0	0	0	2	4	0	2	2	2	6	10	0	0	0	0	0	0	0	0	0	2	0	4	2	8	2	6
DO218060	SA542920	522.102	365.5714	0	0	0	0	0	185.5362	0	0	0	0	0	0	0	0	0	223.0436	0	0	0	0	0	0	0	0	0	0	0	458.5896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	54	30	46	0	0	6	10	17	0	4	4	16	16	0	2	8	20	30	15	2	0	0	2	5	0	0	0	4	6	4	4	0	2	0	13
